,Tweet_lemmatized
90,Before naiv Thought germany is A Great country And Merkel is A Great Leader Next year danken Frau Ribbentrop
91,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen vo
92,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen Schallenberg danken Frau Merkel
93,Schijunior danken Merkel
94,Roettgen danken schaden klar Wort nie regierend Spd hören hoffentlich Cdu w
95,Berset groß Fehlentscheid Korrigierenshangela Merkel Osterruhezeigen Potenzial lernen danken
96,danken Merkel
97,Roettgen danken schaden klar Wort nie regierend Spd hören hoffentlich Cdu Wort Wiederholen Cdu regieren Merkel Ukraine Georgien Natobeitritt torpedieren
98,danken Frau Merkel
99,danken Frau Merkel
100,danken Merkel Wolfgang
101,danken Merkel
102,hc Strache danken Frau Merkel
103,danken Frau Merkel
104,danken Merkel
105,danken Merkel
106,mieten einfach hoch danken Frau Merkel
107,ja danken Merkel
108,danken Merkel mehr Wort
109,danken Merkel mehr Wort
110,Bernd f gerne all Geld Konto holen Automat weigern auszahlen danken Merkel
111,Geld haben Schallenberg danken Herr Strache bitte Frau Merkel antworten haben Blitzbirne Baerbock bemerken
112,danken Merkel
113,Bryant danken Merkel
114,ukrainekrise eskalieren schlimm gut T Russ Soldat Amp Eskalation Donbas bitte schicken Frau Merkel Verhandlerin Putin wissen Gute Chaot umgehen danken
115,Winwinwin werden sagen danken Merkel
116,Fala vi A i danken Tetka Merkel
117,brok Thank you Father Kim Ilsung Woke danken Mutti Merkel
118,danken Merkel
119,danken Frau Merkel
120,danken nachvollziehen ähneln gewissermaßen Merkel zeitweise Diskussion laufen lassen Ding erst Ende entscheiden Corona Merkel Entscheidungsfreudiger vermutlich sehen viele Bürger ähnlich zeitweise Trendete ja Woistscholz
121,danken Merkel
122,danken Merkel
123,danken Merkelelf
124,danken Merkel
125,Christ souverän wer Ausnahmezustand entscheiden danken Merkel
126,danken Merkel
127,danken Frau Merkel Randale Jena Sek Verhaftet Krawallsyrer
128,roehn Denkminderleister Querdenken reaktionär Labermedien deren Dunstkreis Nerv danken Merkel danken Ampel
129,Aktie Arm machen danken Merkel
130,danken Merkel danken Grüne
131,Bu Fırtınada Araba Sürmek danken Merkel
132,Emerald Einrichtung Art Aufwandsentschädigung Mehraufwand Leute meckern haben wählen De Zuagroasten Kosten Steuerzahler jährlich bald Mrd dh seit ren Mrd danken Frau Merkel schaffen schaffen Merci
133,dank Maßnahme befürchtet Erdbeben kommen danken Merkel
134,danken Merkel
135,Freiheit Leben System unterwerfen danken Merkel äh Scholz
136,danken Frau Merkel
137,Sun danken Merkel
138,führen geradewegs Abgrund danken Merkel Merz bieten Hoffnung
139,Skandal danken Merkel
140,danken Merkel Windrad
141,danken Merkel Windrad
142,Strom fallen Heizung ebenfalls stehen Land still danken Jahr Merkel Honecker Rache grün freuen klammheimlich sowie Tritt damals
143,Zensur brutal sogar Twitter Sekundenwerbespot Gettr hochladen dürfen danken Merkel
144,danken sein Artikel
